Id;product_1;product_2;product_3;product_4;product_5;product_6;product_7;product_8;product_9;product_10;product_11;product_12;product_13;product_14;product_15;product_16;product_17;product_18;product_19;product_20
3256;turkey;eggs;;;;;;;;;;;;;;;;;;
3257;chocolate;frozen vegetables;tomatoes;spaghetti;milk;cake;escalope;mushroom cream sauce;;;;;;;;;;;;
3258;frozen vegetables;tomatoes;mineral water;eggs;cake;frozen smoothie;hot dogs;protein bar;;;;;;;;;;;;
3259;shrimp;mineral water;chocolate;soup;milk;black tea;;;;;;;;;;;;;;
3260;frozen vegetables;mineral water;milk;energy bar;whole wheat rice;low fat yogurt;;;;;;;;;;;;;;
3261;herb & pepper;shrimp;frozen vegetables;ground beef;muffins;blueberries;french fries;cookies;mushroom cream sauce;;;;;;;;;;;
3262;spaghetti;nonfat milk;low fat yogurt;;;;;;;;;;;;;;;;;
3263;escalope;pasta;mushroom cream sauce;;;;;;;;;;;;;;;;;
3264;chocolate;champagne;;;;;;;;;;;;;;;;;;
3265;low fat yogurt;;;;;;;;;;;;;;;;;;;
3266;chocolate;champagne;;;;;;;;;;;;;;;;;;
3267;soup;avocado;milk;honey;cottage cheese;green tea;;;;;;;;;;;;;;
3268;shrimp;frozen vegetables;spaghetti;bug spray;champagne;frozen smoothie;fresh bread;;;;;;;;;;;;;
3269;grated cheese;butter;chocolate;french fries;;;;;;;;;;;;;;;;
3270;mayonnaise;;;;;;;;;;;;;;;;;;;
3271;frozen vegetables;mineral water;muffins;mushroom cream sauce;pancakes;green tea;;;;;;;;;;;;;;
3272;low fat yogurt;;;;;;;;;;;;;;;;;;;
3273;tomatoes;pepper;spaghetti;eggs;pet food;tea;chocolate;hot dogs;;;;;;;;;;;;
3274;ground beef;eggs;cake;;;;;;;;;;;;;;;;;
3275;mineral water;;;;;;;;;;;;;;;;;;;
3276;tomatoes;eggs;antioxydant juice;french fries;brownies;gluten free bar;fresh bread;;;;;;;;;;;;;
3277;french fries;;;;;;;;;;;;;;;;;;;
3278;champagne;frozen smoothie;;;;;;;;;;;;;;;;;;
3279;energy bar;cottage cheese;;;;;;;;;;;;;;;;;;
3280;muffins;oil;escalope;;;;;;;;;;;;;;;;;
3281;spaghetti;mineral water;soup;avocado;milk;chicken;cereals;;;;;;;;;;;;;
3282;chocolate;ground beef;milk;;;;;;;;;;;;;;;;;
3283;parmesan cheese;whole wheat pasta;spaghetti;soup;almonds;cake;champagne;hot dogs;protein bar;tomato juice;fresh bread;;;;;;;;;
3284;candy bars;;;;;;;;;;;;;;;;;;;
3285;frozen vegetables;ground beef;spaghetti;green grapes;cooking oil;;;;;;;;;;;;;;;
3286;green tea;escalope;;;;;;;;;;;;;;;;;;
3287;yogurt cake;;;;;;;;;;;;;;;;;;;
3288;energy drink;;;;;;;;;;;;;;;;;;;
3289;milk;hot dogs;fresh bread;;;;;;;;;;;;;;;;;
3290;chocolate;herb & pepper;milk;eggs;low fat yogurt;;;;;;;;;;;;;;;
3291;mineral water;nonfat milk;cake;;;;;;;;;;;;;;;;;
3292;burgers;frozen vegetables;gums;french fries;hot dogs;green tea;honey;;;;;;;;;;;;;
3293;meatballs;;;;;;;;;;;;;;;;;;;
3294;burgers;frozen vegetables;mineral water;meatballs;milk;honey;ham;french fries;frozen smoothie;green tea;;;;;;;;;;
3295;butter;eggs;sparkling water;pancakes;;;;;;;;;;;;;;;;
3296;green tea;;;;;;;;;;;;;;;;;;;
3297;rice;;;;;;;;;;;;;;;;;;;
3298;french fries;;;;;;;;;;;;;;;;;;;
3299;tomatoes;mineral water;french fries;;;;;;;;;;;;;;;;;
3300;cookies;low fat yogurt;;;;;;;;;;;;;;;;;;
3301;red wine;frozen vegetables;ground beef;mineral water;vegetables mix;eggs;rice;brownies;;;;;;;;;;;;
3302;mineral water;;;;;;;;;;;;;;;;;;;
3303;grated cheese;ground beef;olive oil;pancakes;mushroom cream sauce;hot dogs;;;;;;;;;;;;;;
3304;ham;red wine;mineral water;butter;french wine;cake;chicken;carrots;cottage cheese;;;;;;;;;;;
3305;red wine;frozen vegetables;tomatoes;ground beef;pet food;french fries;brownies;low fat yogurt;green tea;;;;;;;;;;;
3306;frozen vegetables;;;;;;;;;;;;;;;;;;;
3307;mineral water;chocolate;milk;eggs;;;;;;;;;;;;;;;;
3308;milk;;;;;;;;;;;;;;;;;;;
3309;muffins;low fat yogurt;;;;;;;;;;;;;;;;;;
3310;shrimp;green grapes;pancakes;eggs;cake;;;;;;;;;;;;;;;
3311;antioxydant juice;chocolate;;;;;;;;;;;;;;;;;;
3312;olive oil;eggs;cake;french fries;hot dogs;strawberries;asparagus;salad;green tea;;;;;;;;;;;
3313;burgers;spaghetti;milk;olive oil;chicken;french fries;tomato juice;magazines;;;;;;;;;;;;
3314;eggs;honey;;;;;;;;;;;;;;;;;;
3315;french fries;;;;;;;;;;;;;;;;;;;
3316;spaghetti;mineral water;nonfat milk;honey;carrots;cottage cheese;;;;;;;;;;;;;;
3317;ground beef;whole wheat rice;extra dark chocolate;fresh bread;candy bars;;;;;;;;;;;;;;;
3318;ground beef;soup;bacon;pancakes;cooking oil;barbecue sauce;green tea;;;;;;;;;;;;;
3319;milk;;;;;;;;;;;;;;;;;;;
3320;spaghetti;energy bar;cider;pancakes;eggs;cake;;;;;;;;;;;;;;
3321;milk;energy bar;;;;;;;;;;;;;;;;;;
3322;dessert wine;mineral water;barbecue sauce;green tea;;;;;;;;;;;;;;;;
3323;frozen vegetables;ground beef;spaghetti;chocolate;french fries;escalope;pancakes;tomato juice;;;;;;;;;;;;
3324;frozen vegetables;eggs;barbecue sauce;;;;;;;;;;;;;;;;;
3325;red wine;;;;;;;;;;;;;;;;;;;
3326;cooking oil;frozen smoothie;;;;;;;;;;;;;;;;;;
3327;escalope;pasta;mushroom cream sauce;;;;;;;;;;;;;;;;;
3328;escalope;;;;;;;;;;;;;;;;;;;
3329;mineral water;eggs;green tea;frozen smoothie;;;;;;;;;;;;;;;;
3330;eggs;;;;;;;;;;;;;;;;;;;
3331;chocolate;bacon;mint green tea;;;;;;;;;;;;;;;;;
3332;red wine;frozen vegetables;french wine;champagne;green tea;;;;;;;;;;;;;;;
3333;strawberries;;;;;;;;;;;;;;;;;;;
3334;burgers;ham;shrimp;milk;muffins;eggs;whole wheat rice;carrots;oatmeal;pasta;low fat yogurt;;;;;;;;;
3335;parmesan cheese;hot dogs;energy drink;light mayo;;;;;;;;;;;;;;;;
3336;cookies;;;;;;;;;;;;;;;;;;;
3337;cookies;;;;;;;;;;;;;;;;;;;
3338;spaghetti;whole weat flour;;;;;;;;;;;;;;;;;;
3339;fresh tuna;soup;avocado;energy bar;butter;chicken;whole wheat rice;barbecue sauce;whole weat flour;;;;;;;;;;;
3340;burgers;hot dogs;melons;;;;;;;;;;;;;;;;;
3341;herb & pepper;spaghetti;meatballs;chili;sandwich;;;;;;;;;;;;;;;
3342;yogurt cake;;;;;;;;;;;;;;;;;;;
3343;chocolate;;;;;;;;;;;;;;;;;;;
3344;gums;chocolate;;;;;;;;;;;;;;;;;;
3345;green tea;zucchini;;;;;;;;;;;;;;;;;;
3346;tomatoes;ground beef;butter;green grapes;pancakes;cooking oil;carrots;;;;;;;;;;;;;
3347;eggs;cake;fresh bread;low fat yogurt;;;;;;;;;;;;;;;;
3348;ground beef;;;;;;;;;;;;;;;;;;;
3349;grated cheese;mineral water;avocado;;;;;;;;;;;;;;;;;
3350;spaghetti;honey;cake;green tea;;;;;;;;;;;;;;;;
3351;champagne;;;;;;;;;;;;;;;;;;;
3352;cookies;;;;;;;;;;;;;;;;;;;
3353;shrimp;pepper;french wine;strong cheese;salmon;green grapes;pancakes;eggs;;;;;;;;;;;;
3354;brownies;;;;;;;;;;;;;;;;;;;
3355;ground beef;mineral water;;;;;;;;;;;;;;;;;;
3356;milk;;;;;;;;;;;;;;;;;;;
3357;whole wheat pasta;;;;;;;;;;;;;;;;;;;
3358;burgers;ground beef;mineral water;frozen smoothie;sparkling water;light mayo;;;;;;;;;;;;;;
3359;shrimp;spaghetti;salmon;chicken;;;;;;;;;;;;;;;;
3360;butter;whole wheat rice;;;;;;;;;;;;;;;;;;
3361;pickles;;;;;;;;;;;;;;;;;;;
3362;cereals;cookies;;;;;;;;;;;;;;;;;;
3363;cookies;;;;;;;;;;;;;;;;;;;
3364;cookies;;;;;;;;;;;;;;;;;;;
3365;frozen smoothie;;;;;;;;;;;;;;;;;;;
3366;grated cheese;frozen vegetables;ground beef;cooking oil;french fries;escalope;brownies;;;;;;;;;;;;;
3367;turkey;honey;cooking oil;;;;;;;;;;;;;;;;;
3368;burgers;chocolate;shrimp;;;;;;;;;;;;;;;;;
3369;grated cheese;shrimp;frozen vegetables;mineral water;salmon;pancakes;honey;green beans;mushroom cream sauce;gluten free bar;fresh bread;;;;;;;;;
3370;pasta;;;;;;;;;;;;;;;;;;;
3371;vegetables mix;asparagus;;;;;;;;;;;;;;;;;;
3372;herb & pepper;spaghetti;;;;;;;;;;;;;;;;;;
3373;turkey;spaghetti;mushroom cream sauce;green tea;;;;;;;;;;;;;;;;
3374;turkey;frozen vegetables;pepper;avocado;muffins;white wine;toothpaste;;;;;;;;;;;;;
3375;avocado;yogurt cake;;;;;;;;;;;;;;;;;;
3376;ground beef;spaghetti;;;;;;;;;;;;;;;;;;
3377;burgers;shrimp;frozen vegetables;tomatoes;milk;cake;chocolate;cottage cheese;;;;;;;;;;;;
3378;chocolate;;;;;;;;;;;;;;;;;;;
3379;spaghetti;;;;;;;;;;;;;;;;;;;
3380;mineral water;black tea;eggs;whole wheat rice;;;;;;;;;;;;;;;;
3381;turkey;eggs;french fries;frozen smoothie;green tea;;;;;;;;;;;;;;;
3382;chocolate;champagne;;;;;;;;;;;;;;;;;;
3383;tomatoes;eggs;melons;mint;green tea;;;;;;;;;;;;;;;
3384;eggs;;;;;;;;;;;;;;;;;;;
3385;frozen vegetables;tomatoes;;;;;;;;;;;;;;;;;;
3386;spaghetti;milk;pancakes;;;;;;;;;;;;;;;;;
3387;ham;eggs;cake;;;;;;;;;;;;;;;;;
3388;escalope;pasta;;;;;;;;;;;;;;;;;;
3389;antioxydant juice;french fries;escalope;light mayo;;;;;;;;;;;;;;;;
3390;eggs;frozen smoothie;escalope;cookies;pancakes;;;;;;;;;;;;;;;
3391;ground beef;spaghetti;green beans;green tea;;;;;;;;;;;;;;;;
3392;fresh tuna;mineral water;milk;french fries;mushroom cream sauce;;;;;;;;;;;;;;;
3393;eggs;green tea;;;;;;;;;;;;;;;;;;
3394;eggs;green tea;chocolate;;;;;;;;;;;;;;;;;
3395;butter;extra dark chocolate;;;;;;;;;;;;;;;;;;
3396;turkey;mineral water;eggs;green tea;hot dogs;cauliflower;;;;;;;;;;;;;;
3397;mineral water;pancakes;french fries;cookies;shallot;green tea;;;;;;;;;;;;;;
3398;mineral water;meatballs;energy drink;;;;;;;;;;;;;;;;;
3399;shrimp;ground beef;pepper;spaghetti;;;;;;;;;;;;;;;;
3400;spaghetti;;;;;;;;;;;;;;;;;;;
3401;sparkling water;energy drink;light mayo;;;;;;;;;;;;;;;;;
3402;cookies;;;;;;;;;;;;;;;;;;;
3403;escalope;fresh bread;;;;;;;;;;;;;;;;;;
3404;spaghetti;;;;;;;;;;;;;;;;;;;
3405;spaghetti;olive oil;chicken;eggs;green tea;;;;;;;;;;;;;;;
3406;mineral water;avocado;oil;;;;;;;;;;;;;;;;;
3407;milk;;;;;;;;;;;;;;;;;;;
3408;chocolate;milk;eggs;french fries;;;;;;;;;;;;;;;;
3409;eggs;french fries;frozen smoothie;;;;;;;;;;;;;;;;;
3410;tomatoes;pepper;mineral water;milk;salmon;nonfat milk;eggs;gums;cooking oil;escalope;;;;;;;;;;
3411;grated cheese;shrimp;frozen vegetables;cider;chocolate;;;;;;;;;;;;;;;
3412;turkey;grated cheese;milk;black tea;chicken;chocolate;french fries;frozen smoothie;green tea;;;;;;;;;;;
3413;burgers;french fries;escalope;;;;;;;;;;;;;;;;;
3414;shrimp;avocado;low fat yogurt;;;;;;;;;;;;;;;;;
3415;whole wheat rice;clothes accessories;cookies;;;;;;;;;;;;;;;;;
3416;french fries;;;;;;;;;;;;;;;;;;;
3417;cookies;;;;;;;;;;;;;;;;;;;
3418;chocolate;;;;;;;;;;;;;;;;;;;
3419;grated cheese;herb & pepper;;;;;;;;;;;;;;;;;;
3420;vegetables mix;french fries;;;;;;;;;;;;;;;;;;
3421;chocolate;ground beef;mineral water;eggs;whole wheat rice;;;;;;;;;;;;;;;
3422;eggs;mushroom cream sauce;candy bars;;;;;;;;;;;;;;;;;
3423;grated cheese;shrimp;ground beef;mineral water;chocolate;salt;;;;;;;;;;;;;;
3424;burgers;whole wheat rice;cooking oil;escalope;;;;;;;;;;;;;;;;
3425;eggs;;;;;;;;;;;;;;;;;;;
3426;french fries;;;;;;;;;;;;;;;;;;;
3427;ground beef;spaghetti;mineral water;;;;;;;;;;;;;;;;;
3428;energy bar;;;;;;;;;;;;;;;;;;;
3429;turkey;frozen vegetables;spaghetti;mineral water;eggs;antioxydant juice;french fries;frozen smoothie;;;;;;;;;;;;
3430;butter;escalope;shallot;white wine;;;;;;;;;;;;;;;;
3431;mineral water;soup;milk;cooking oil;;;;;;;;;;;;;;;;
3432;mineral water;pancakes;low fat yogurt;;;;;;;;;;;;;;;;;
3433;burgers;milk;eggs;chocolate;french fries;;;;;;;;;;;;;;;
3434;cookies;;;;;;;;;;;;;;;;;;;
3435;burgers;herb & pepper;frozen vegetables;tomatoes;whole wheat pasta;ground beef;spaghetti;mineral water;barbecue sauce;toothpaste;;;;;;;;;;
3436;herb & pepper;spaghetti;eggs;escalope;;;;;;;;;;;;;;;;
3437;extra dark chocolate;green tea;candy bars;;;;;;;;;;;;;;;;;
3438;cookies;;;;;;;;;;;;;;;;;;;
3439;milk;frozen smoothie;white wine;;;;;;;;;;;;;;;;;
3440;burgers;french fries;cookies;strawberries;;;;;;;;;;;;;;;;
3441;ground beef;pepper;mineral water;chocolate;;;;;;;;;;;;;;;;
3442;cookies;;;;;;;;;;;;;;;;;;;
3443;cookies;;;;;;;;;;;;;;;;;;;
3444;frozen vegetables;chicken;bacon;eggs;honey;extra dark chocolate;eggplant;cottage cheese;;;;;;;;;;;;
3445;frozen vegetables;spaghetti;mineral water;soup;milk;salmon;green grapes;eggs;french fries;shallot;brownies;light mayo;melons;toothpaste;;;;;;
3446;shrimp;frozen vegetables;tomatoes;mineral water;meatballs;;;;;;;;;;;;;;;
3447;chocolate;red wine;shrimp;spaghetti;green tea;;;;;;;;;;;;;;;
3448;avocado;milk;butter;chicken;salmon;eggs;chocolate;fresh bread;;;;;;;;;;;;
3449;spaghetti;milk;;;;;;;;;;;;;;;;;;
3450;spaghetti;olive oil;;;;;;;;;;;;;;;;;;
3451;pepper;cereals;antioxydant juice;sparkling water;shampoo;;;;;;;;;;;;;;;
3452;salmon;cooking oil;carrots;;;;;;;;;;;;;;;;;
3453;chocolate;red wine;tomatoes;spaghetti;butter;almonds;strong cheese;clothes accessories;green tea;hand protein bar;mint;;;;;;;;;
3454;chocolate;tomatoes;mineral water;olive oil;cooking oil;low fat yogurt;zucchini;;;;;;;;;;;;;
3455;pepper;cookies;green tea;;;;;;;;;;;;;;;;;
3456;ham;chocolate;grated cheese;ground beef;mineral water;eggs;protein bar;;;;;;;;;;;;;
3457;shrimp;tomatoes;mineral water;almonds;hot dogs;;;;;;;;;;;;;;;
3458;milk;honey;;;;;;;;;;;;;;;;;;
3459;white wine;;;;;;;;;;;;;;;;;;;
3460;grated cheese;tomatoes;soup;blueberries;cooking oil;chili;green tea;fresh bread;low fat yogurt;;;;;;;;;;;
3461;meatballs;butter;chicken;cider;whole wheat rice;green tea;;;;;;;;;;;;;;
3462;green tea;mint;;;;;;;;;;;;;;;;;;
3463;chocolate;frozen vegetables;nonfat milk;pancakes;blueberries;melons;salt;;;;;;;;;;;;;
3464;tomatoes;ground beef;spaghetti;mineral water;;;;;;;;;;;;;;;;
3465;french fries;;;;;;;;;;;;;;;;;;;
3466;milk;eggs;;;;;;;;;;;;;;;;;;
3467;whole wheat pasta;ground beef;milk;olive oil;champagne;cauliflower;;;;;;;;;;;;;;
3468;red wine;frozen vegetables;milk;salmon;pancakes;eggs;ham;cereals;french fries;champagne;;;;;;;;;;
3469;cookies;;;;;;;;;;;;;;;;;;;
3470;turkey;frozen vegetables;ground beef;spaghetti;soup;olive oil;shallot;;;;;;;;;;;;;
3471;energy bar;french fries;;;;;;;;;;;;;;;;;;
3472;escalope;;;;;;;;;;;;;;;;;;;
3473;cake;french fries;;;;;;;;;;;;;;;;;;
3474;tomatoes;spaghetti;mineral water;;;;;;;;;;;;;;;;;
3475;mineral water;olive oil;eggs;mint;;;;;;;;;;;;;;;;
3476;red wine;ground beef;mineral water;eggs;cottage cheese;brownies;;;;;;;;;;;;;;
3477;pancakes;;;;;;;;;;;;;;;;;;;
3478;spaghetti;mineral water;milk;chocolate;;;;;;;;;;;;;;;;
3479;oil;chocolate;cottage cheese;;;;;;;;;;;;;;;;;
3480;herb & pepper;shrimp;frozen vegetables;mineral water;milk;cooking oil;barbecue sauce;green beans;fresh bread;;;;;;;;;;;
3481;chocolate;;;;;;;;;;;;;;;;;;;
3482;burgers;ground beef;soup;milk;olive oil;almonds;fromage blanc;pancakes;oil;pet food;french fries;mushroom cream sauce;light mayo;low fat yogurt;;;;;;
3483;burgers;butter;light cream;zucchini;;;;;;;;;;;;;;;;
3484;grated cheese;chocolate;soup;salmon;cooking oil;chicken;strawberries;fresh bread;low fat yogurt;;;;;;;;;;;
3485;turkey;ham;;;;;;;;;;;;;;;;;;
3486;olive oil;;;;;;;;;;;;;;;;;;;
3487;cookies;mushroom cream sauce;;;;;;;;;;;;;;;;;;
3488;grated cheese;ground beef;spaghetti;bacon;pancakes;eggs;barbecue sauce;frozen smoothie;strawberries;white wine;;;;;;;;;;
3489;mineral water;eggs;gums;;;;;;;;;;;;;;;;;
3490;spaghetti;mineral water;chocolate;honey;green beans;french fries;body spray;pancakes;;;;;;;;;;;;
3491;mineral water;eggs;green tea;;;;;;;;;;;;;;;;;
3492;shrimp;ground beef;pepper;spaghetti;pancakes;honey;body spray;;;;;;;;;;;;;
3493;spaghetti;mineral water;eggs;whole wheat rice;french fries;tomato juice;low fat yogurt;;;;;;;;;;;;;
3494;spaghetti;mineral water;soup;salmon;green grapes;champagne;mashed potato;cottage cheese;low fat yogurt;;;;;;;;;;;
3495;herb & pepper;ground beef;tomato sauce;spaghetti;mineral water;chocolate;soup;olive oil;eggs;cake;cooking oil;;;;;;;;;
3496;burgers;salmon;vegetables mix;carrots;green tea;;;;;;;;;;;;;;;
3497;tomatoes;rice;oil;green tea;;;;;;;;;;;;;;;;
3498;herb & pepper;ground beef;salmon;spinach;honey;protein bar;;;;;;;;;;;;;;
3499;chocolate;red wine;tomato sauce;butter;chicken;salmon;french fries;salt;mint;;;;;;;;;;;
3500;cookies;;;;;;;;;;;;;;;;;;;
3501;burgers;tomatoes;milk;honey;french fries;;;;;;;;;;;;;;;
3502;mineral water;eggs;escalope;;;;;;;;;;;;;;;;;
3503;green tea;;;;;;;;;;;;;;;;;;;
3504;mineral water;chocolate;;;;;;;;;;;;;;;;;;
3505;herb & pepper;ground beef;spaghetti;green grapes;cake;burger sauce;cooking oil;chicken;cereals;green tea;escalope;magazines;toothpaste;mint;;;;;;
3506;chocolate;;;;;;;;;;;;;;;;;;;
3507;spaghetti;corn;green tea;;;;;;;;;;;;;;;;;
3508;herb & pepper;shrimp;frozen vegetables;spaghetti;flax seed;fromage blanc;chocolate;french fries;magazines;;;;;;;;;;;
3509;mineral water;;;;;;;;;;;;;;;;;;;
3510;frozen vegetables;ground beef;almonds;fromage blanc;cooking oil;chocolate;french fries;champagne;;;;;;;;;;;;
3511;light mayo;;;;;;;;;;;;;;;;;;;
3512;burgers;black tea;eggs;chocolate;yogurt cake;;;;;;;;;;;;;;;
3513;meatballs;pancakes;eggs;french fries;yogurt cake;;;;;;;;;;;;;;;
3514;burgers;mineral water;green grapes;barbecue sauce;oatmeal;chocolate;tomato juice;;;;;;;;;;;;;
3515;eggs;french fries;frozen smoothie;escalope;cottage cheese;;;;;;;;;;;;;;;
3516;mineral water;eggs;corn;chocolate;honey;;;;;;;;;;;;;;;
3517;shrimp;light mayo;;;;;;;;;;;;;;;;;;
3518;cooking oil;;;;;;;;;;;;;;;;;;;
3519;burgers;low fat yogurt;;;;;;;;;;;;;;;;;;
3520;chocolate;spaghetti;mineral water;soup;pancakes;eggs;hand protein bar;;;;;;;;;;;;;
3521;green tea;;;;;;;;;;;;;;;;;;;
3522;frozen vegetables;eggs;melons;low fat yogurt;green tea;;;;;;;;;;;;;;;
3523;spaghetti;mineral water;pancakes;cooking oil;chocolate;frozen smoothie;escalope;;;;;;;;;;;;;
3524;chocolate;chili;;;;;;;;;;;;;;;;;;
3525;ground beef;chocolate;cooking oil;;;;;;;;;;;;;;;;;
3526;candy bars;;;;;;;;;;;;;;;;;;;
3527;burgers;turkey;shrimp;spaghetti;mineral water;chocolate;soup;olive oil;muffins;eggs;cake;french fries;low fat yogurt;;;;;;;
3528;turkey;;;;;;;;;;;;;;;;;;;
3529;shrimp;milk;butter;pancakes;eggs;;;;;;;;;;;;;;;
3530;cake;;;;;;;;;;;;;;;;;;;
3531;grated cheese;mineral water;soup;olive oil;;;;;;;;;;;;;;;;
3532;candy bars;;;;;;;;;;;;;;;;;;;
3533;candy bars;;;;;;;;;;;;;;;;;;;
3534;turkey;eggs;;;;;;;;;;;;;;;;;;
3535;tomatoes;;;;;;;;;;;;;;;;;;;
3536;herb & pepper;tomatoes;pepper;mineral water;cooking oil;french fries;frozen smoothie;fresh bread;;;;;;;;;;;;
3537;mineral water;light cream;cooking oil;chicken;;;;;;;;;;;;;;;;
3538;ground beef;mineral water;olive oil;vegetables mix;light cream;oil;brownies;melons;fresh bread;mayonnaise;candy bars;green tea;;;;;;;;
3539;escalope;;;;;;;;;;;;;;;;;;;
3540;mineral water;vegetables mix;french fries;fresh bread;cauliflower;;;;;;;;;;;;;;;
3541;spaghetti;strawberries;;;;;;;;;;;;;;;;;;
3542;mineral water;chutney;;;;;;;;;;;;;;;;;;
3543;pickles;herb & pepper;shrimp;tomatoes;ground beef;mineral water;gums;bramble;rice;french fries;frozen smoothie;light mayo;mint;green tea;;;;;;
3544;escalope;;;;;;;;;;;;;;;;;;;
3545;energy bar;salmon;french fries;frozen smoothie;sparkling water;low fat yogurt;;;;;;;;;;;;;;
3546;spaghetti;;;;;;;;;;;;;;;;;;;
3547;cookies;;;;;;;;;;;;;;;;;;;
3548;cookies;;;;;;;;;;;;;;;;;;;
3549;eggs;;;;;;;;;;;;;;;;;;;
3550;herb & pepper;;;;;;;;;;;;;;;;;;;
3551;shrimp;tomatoes;chocolate;eggs;oil;french fries;escalope;mushroom cream sauce;sandwich;;;;;;;;;;;
3552;eggs;extra dark chocolate;french fries;;;;;;;;;;;;;;;;;
3553;yogurt cake;;;;;;;;;;;;;;;;;;;
3554;turkey;french fries;;;;;;;;;;;;;;;;;;
3555;mineral water;brownies;fresh bread;;;;;;;;;;;;;;;;;
3556;tomatoes;strawberries;;;;;;;;;;;;;;;;;;
3557;frozen vegetables;green tea;;;;;;;;;;;;;;;;;;
3558;dessert wine;shrimp;spaghetti;soup;gums;;;;;;;;;;;;;;;
3559;shrimp;frozen vegetables;ground beef;spaghetti;milk;olive oil;salmon;muffins;eggs;bug spray;chicken;french fries;fresh bread;low fat yogurt;;;;;;
3560;turkey;tomatoes;pepper;mineral water;soup;milk;cake;pet food;;;;;;;;;;;;
3561;black tea;french fries;champagne;;;;;;;;;;;;;;;;;
3562;fresh tuna;ground beef;pepper;spaghetti;mineral water;olive oil;black tea;almonds;french wine;chicken;strong cheese;pancakes;bug spray;eggplant;fresh bread;;;;;
3563;mineral water;champagne;;;;;;;;;;;;;;;;;;
3564;spaghetti;eggs;whole wheat rice;honey;;;;;;;;;;;;;;;;
3565;burgers;energy bar;eggs;champagne;brownies;green tea;;;;;;;;;;;;;;
3566;milk;eggs;mint green tea;french fries;cookies;brownies;;;;;;;;;;;;;;
3567;vegetables mix;;;;;;;;;;;;;;;;;;;
3568;grated cheese;spaghetti;mint;;;;;;;;;;;;;;;;;
3569;eggs;strawberries;;;;;;;;;;;;;;;;;;
3570;cooking oil;french fries;;;;;;;;;;;;;;;;;;
3571;ground beef;spaghetti;milk;butter;chicken;green tea;french fries;champagne;cookies;white wine;low fat yogurt;;;;;;;;;
3572;tomatoes;;;;;;;;;;;;;;;;;;;
3573;herb & pepper;tomatoes;mineral water;chocolate;soup;cooking oil;cereals;green tea;brownies;;;;;;;;;;;
3574;tomatoes;mineral water;chocolate;olive oil;energy bar;low fat yogurt;zucchini;;;;;;;;;;;;;
3575;chocolate;shrimp;ground beef;spaghetti;whole wheat rice;cake;hot dogs;fresh bread;;;;;;;;;;;;
3576;mineral water;chocolate;low fat yogurt;;;;;;;;;;;;;;;;;
3577;chocolate;shallot;;;;;;;;;;;;;;;;;;
3578;burgers;shrimp;frozen vegetables;spaghetti;mineral water;chocolate;olive oil;french wine;pancakes;white wine;;;;;;;;;;
3579;spaghetti;mineral water;escalope;low fat yogurt;;;;;;;;;;;;;;;;
3580;frozen vegetables;milk;butter;chicken;fromage blanc;eggs;cake;cooking oil;brownies;tomato juice;;;;;;;;;;
3581;burgers;cookies;green tea;;;;;;;;;;;;;;;;;
3582;red wine;barbecue sauce;chili;pet food;whole weat flour;french fries;low fat yogurt;;;;;;;;;;;;;
3583;mineral water;milk;chocolate;cookies;;;;;;;;;;;;;;;;
3584;shrimp;tomatoes;ground beef;milk;cooking oil;white wine;;;;;;;;;;;;;;
3585;mineral water;milk;olive oil;energy bar;whole wheat rice;;;;;;;;;;;;;;;
3586;turkey;;;;;;;;;;;;;;;;;;;
3587;honey;cottage cheese;green tea;;;;;;;;;;;;;;;;;
3588;almonds;french wine;;;;;;;;;;;;;;;;;;
3589;turkey;shrimp;pepper;spaghetti;soup;olive oil;green grapes;pancakes;honey;burger sauce;extra dark chocolate;;;;;;;;;
3590;milk;sparkling water;asparagus;low fat yogurt;;;;;;;;;;;;;;;;
3591;ground beef;spaghetti;mineral water;french wine;eggs;extra dark chocolate;;;;;;;;;;;;;;
3592;eggs;;;;;;;;;;;;;;;;;;;
3593;herb & pepper;red wine;mineral water;soup;milk;chicken;corn;carrots;whole weat flour;cereals;french fries;pancakes;asparagus;;;;;;;
3594;eggs;;;;;;;;;;;;;;;;;;;
3595;eggs;escalope;;;;;;;;;;;;;;;;;;
3596;burgers;mineral water;eggs;;;;;;;;;;;;;;;;;
3597;meatballs;cake;;;;;;;;;;;;;;;;;;
3598;grated cheese;ground beef;mineral water;clothes accessories;french fries;tomato juice;green tea;;;;;;;;;;;;;
3599;grated cheese;ground beef;spaghetti;cake;green tea;;;;;;;;;;;;;;;
3600;burgers;red wine;tomatoes;spaghetti;meatballs;bacon;salmon;shampoo;;;;;;;;;;;;
3601;french fries;;;;;;;;;;;;;;;;;;;
3602;frozen vegetables;tomatoes;green tea;french fries;frozen smoothie;hot dogs;;;;;;;;;;;;;;
3603;tomatoes;mineral water;milk;olive oil;chicken;eggs;brownies;pancakes;low fat yogurt;;;;;;;;;;;
3604;shrimp;pancakes;;;;;;;;;;;;;;;;;;
3605;gums;;;;;;;;;;;;;;;;;;;
3606;frozen vegetables;spaghetti;cookies;;;;;;;;;;;;;;;;;
3607;mineral water;olive oil;french wine;eggs;gums;antioxydant juice;low fat yogurt;;;;;;;;;;;;;
3608;whole wheat pasta;spaghetti;mineral water;almonds;cooking oil;chocolate;mint;;;;;;;;;;;;;
